User_ID,User_Name,Date,CourseTitle,GameMode,GameSessionId,Station,Time_Taken,Total_Correct_Attempt,Total_Error_Attempt,Total_Question_Attempt
0001142023051137,krizia,2023-12-01,L_Alphabet_1001,Lesson,20231201210529,School,60.441673278808594,4,2,6
0002092024580114,karis,2024-01-02,L_Sports_1001,Lesson,20240102010140,Playground,248.053955078125,3,6,9
0002092024580114,karis,2024-01-02,MCQ_Restaurant_1001,Quiz,20240102010617,Canteen,27.22210693359375,0,2,2
0002092024580114,karis,2024-01-02,TF_School_1001,TrueFalse,20240102010701,School,52.9921875,3,4,7
001109202436032,bebo,2024-03-11,L_Alphabet_1001,Lesson,20240311191539,School,51.66029739379883,0,3,3
001109202436032,bebo,2024-03-11,FB_Playground_1001,FillBlanks,20240311191728,Playground,34.05268859863281,4,0,4
001109202436032,bebo,2024-03-11,L_Sports_1001,Lesson,20240311224348,Playground,10.744598388671875,0,0,0
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311224443,Zoo,63.323150634765625,5,0,5
001109202436032,bebo,2024-03-11,L_Animals_1001,Lesson,20240311224559,Zoo,78.05950927734375,3,3,6
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311224723,Zoo,50.02520751953125,1,0,1
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311224820,Zoo,23.291259765625,2,1,3
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311224849,Zoo,6.24884033203125,0,0,0
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311224900,Zoo,73.66748046875,5,0,5
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311225024,Zoo,20.36798095703125,2,1,3
001109202436032,bebo,2024-03-11,L_Animals_1001,Lesson,20240311225201,Zoo,5.74737548828125,0,0,0
001109202436032,bebo,2024-03-11,SG_Animal_1001,Selection,20240311225211,Zoo,16.4576416015625,2,0,2
0012192024060230,tom,2024-02-12,Q_Geometries_1001,Quiz,20240212000804,School,83.44735717773438,5,2,7
0012192024060230,tom,2024-02-12,US_Veggies_1001,Unscramble,20240212001012,Canteen,13.170440673828125,0,0,0
0012192024060230,tom,2024-02-12,FB_Hospital_1001,FillBlanks,20240212001047,Hospital,20.33099365234375,1,0,1
0017282023251216,liza,2023-12-17,L_Animals_1001,Lesson,20231217002602,Zoo,11.546211242675781,0,0,0
0017282023251216,liza,2023-12-17,L_Animals_1001,Lesson,20231217002618,Zoo,48.54985809326172,0,8,8
0018502023141278,mohid,2023-12-18,L_Veggies_1001,Lesson,20231218001523,Canteen,459.3242492675781,3,51,54
0027162023231242,rebecca,2024-01-25,FB_Playground_1001,FillBlanks,20240125173249,Playground,45.45540237426758,4,0,4
0101532024200375,freshteh,2024-03-01,L_Alphabet_1001,Lesson,20240301012251,School,207.50181579589844,0,6,6
0101532024200375,freshteh,2024-03-01,Q_Relationship_1001,Quiz,20240301012625,School,64.56317138671875,1,1,2
0101532024200375,freshteh,2024-03-01,Q_Relationship_1001,Quiz,20240301012734,School,86.156494140625,6,1,7
0101532024200375,freshteh,2024-03-01,FB_Playground_1001,FillBlanks,20240301012914,Playground,101.3516845703125,6,0,6
0101532024200375,freshteh,2024-03-01,TF_Restaurant_1001,TrueFalse,20240301013112,Canteen,78.07568359375,6,1,7
0101532024200375,freshteh,2024-03-01,US_Zoo_1001,Unscramble,20240301013244,Zoo,129.776123046875,2,3,5
0108422024390276,nombre  es  iris,2024-02-08,Q_Relationship_1001,Quiz,20240208211258,School,70.82398986816406,7,0,7
0327532024000223,hilo,2024-02-27,L_Alphabet_1001,Lesson,20240227030302,School,192.89048767089844,3,25,28
0327532024000223,hilo,2024-02-27,Q_Geometries_1001,Quiz,20240227030621,School,53.857757568359375,2,5,7
0327532024000223,hilo,2024-02-27,FB_Zoo_1001,FillBlanks,20240227030747,Zoo,43.710235595703125,6,0,6
0327532024000223,hilo,2024-02-27,Q_Hospital_1001,Quiz,20240227030842,Hospital,35.431549072265625,1,4,5
0505122024540149,michael,2024-01-05,L_Sports_1001,Lesson,20240105055728,Playground,84.08673095703125,0,5,5
0630192023391230,dahlia,2023-12-30,L_Alphabet_1001,Lesson,20231230063955,School,15.656074523925781,0,0,0
0630192023391230,dahlia,2023-12-30,L_Veggies_1001,Lesson,20231230064029,Canteen,4.403327941894531,0,0,0
0702542023101259,Teddy,2024-01-02,Q_Geometries_1001,Quiz,20240102144248,School,3.5504913330078125,0,0,0
0703342024410225,lucy,2024-02-03,L_Alphabet_1001,Lesson,20240203074544,School,970.0299072265625,2,94,96
0706002024100329,samy,2024-03-06,L_Sports_1001,Lesson,20240306071116,Playground,22.010726928710938,0,0,0
0706372024590389,you?,2024-03-06,L_Sports_1001,Lesson,20240306080007,Playground,133.4923553466797,6,3,9
0713182024340387,kannada  poems,2024-03-13,SG_Animal_1001,Selection,20240313073713,Zoo,11.926925659179688,0,1,1
0713182024340387,kannada  poems,2024-03-13,US_Zoo_1001,Unscramble,20240313073929,Zoo,9.957794189453125,1,0,1
0713572024440365,jpbabu,2024-03-13,L_Alphabet_1001,Lesson,20240313074530,School,36.824562072753906,0,0,0
0713572024440365,jpbabu,2024-03-13,L_Hospital_1001,Lesson,20240313074630,Hospital,5.931549072265625,0,0,0
0718262024220235,amro,2024-02-18,Q_Geometries_1001,Quiz,20240218072912,School,75.39307403564453,3,3,6
0718262024220235,amro,2024-02-18,Q_Relationship_1001,Quiz,20240218073037,School,2.357574462890625,0,0,0
0718262024220235,amro,2024-02-18,L_Sports_1001,Lesson,20240218073050,Playground,225.8458709716797,4,23,27
0718262024220235,amro,2024-02-18,KS1.1 Continents DragDrop,DragDrop,20240218073529,Geography,76.417724609375,1,22,23
0718262024220235,amro,2024-02-18,DD_Flag_1001,DragDrop,20240218073648,Geography,15.3951416015625,0,4,4
0718262024220235,amro,2024-02-18,KS1.5 Weather TrueFalse,TrueFalse,20240218073706,Geography,15.09527587890625,1,0,1
0718262024220235,amro,2024-02-18,L_KS2.2 Question,Lesson,20240218073739,Geography,2.64910888671875,0,0,0
0718262024220235,amro,2024-02-18,FB_KS2.8 Natural_Resources,FillBlanks,20240218073750,Geography,40.16241455078125,0,0,0
0718262024220235,amro,2024-02-18,TF_History KS2.2 TheRomanEmpire TrueFalse,TrueFalse,20240218073852,History,6.03143310546875,0,0,0
0718262024220235,amro,2024-02-18,L_Hospital_1001,Lesson,20240218073905,Hospital,155.85113525390625,7,10,17
